State,Cycle,District,StateDistrict,FEC_ID,Cand_Name,Gen_Votes,Gen_Vote_Pct,Winner,PartyName,Party,Incumbent,PresYear,PartyInPres,TotDistVotes,TotDistDisb,TotDisb,CandinDist
FL,2012,27,FL-27,H0FL18025,"Ros-Lehtinen, Ileana",138488,0.6017,1,Republican,1,1,1,0,230171,1190873.38,1190873.38,1
IN,2012,8,IN-8,H0IN08114,"Bucshon, Larry D. ",151533,0.5336,1,Republican,1,1,1,0,283992,2444552.15,1389537.18,2
GA,2004,12,GA-12,H2GA12097,"Burns, Max",105132,0.4819,0,Republican,1,1,1,1,218168,4677557.06,2798730.36,2
FL,2010,19,FL-19,H0FL19080,"Deutch, Ted",132098,0.6259,1,Democrat,0,1,0,1,211059,1960659.99,1874219.78,2
FL,2016,22,FL-22,H0FL19080,"Deutch, Ted",199113,0.5894,1,Democrat,0,1,1,1,337850,1739888.35,1715240.17,2
FL,2014,21,FL-21,H0FL19080,"Deutch, Ted",153395,0.9963,1,Democrat,0,1,0,1,153970,1006801.03,1006801.03,1
FL,2012,21,FL-21,H0FL19080,"Deutch, Ted ",221263,0.7780,1,Democrat,0,1,1,1,284400,951812.60,921398.24,2
CA,2006,50,CA-50,H4CA50055,"Busby, Francine ",96612,0.4350,0,Democrat,0,0,0,0,222102,6224056.73,3603703.74,2
IN,2008,4,IN-4,H2IN05025,"Buyer, Steve",192526,0.5987,1,Republican,1,1,1,0,321564,1840159.33,969474.43,2
CA,2016,25,CA-25,H6CA25177,"Caforio, Bryan",122406,0.4687,0,Democrat,0,0,1,1,261161,3383171.05,1703542.69,2
ME,2014,2,ME-2,H4ME02200,"Cain, Emily Ann",118556,0.4183,0,Democrat,0,0,0,1,283448,3697405.25,1969516.56,3
ME,2016,2,ME-2,H4ME02200,"Cain, Emily Ann",159081,0.4517,0,Democrat,0,0,1,1,352183,6887302.15,3498450.16,2
TX,2012,23,TX-23,H4TX28046,"Canseco, Francisco ""Quico""",87547,0.4556,0,Republican,1,1,1,0,192169,4302072.72,2534134.93,2
FL,2010,24,FL-24,H0FL24049,"Adams, Sandra ""Sandy""",146129,0.5964,1,Republican,1,0,0,0,245031,3828495.52,1266664.42,2
TX,2010,23,TX-23,H4TX28046,"Canseco, Francisco ""Quico""",74853,0.4940,1,Republican,1,0,0,0,151534,3501462.51,1822565.56,2
CA,2010,23,CA-23,H8CA22089,"Capps, Lois",111768,0.5777,1,Democrat,0,1,0,1,193463,1714977.21,991078.62,3
CA,2012,24,CA-24,H8CA22089,"Capps, Lois",156749,0.5510,1,Democrat,0,1,1,1,284495,5956079.97,3286649.92,2
CA,2016,24,CA-24,H6CA24303,"Carbajal, Salud",166034,0.5342,1,Democrat,0,0,1,1,310814,5416119.54,3120305.56,2
MO,2004,3,MO-3,H0MO00019,"Carnahan, Russ",146894,0.5286,1,Democrat,0,0,1,0,277916,2759899.32,1392253.01,2
GA,2004,7,GA-7,H0GA04023,"Linder, John",258982,1.0000,1,Republican,1,1,1,1,258982,746767.82,746767.82,1
GA,2006,7,GA-7,H0GA04023,"Linder, John",130561,0.7091,1,Republican,1,1,0,1,184114,432012.21,398799.21,2
GA,2008,7,GA-7,H0GA04023,"Linder, John",209354,0.6203,1,Republican,1,1,1,0,337513,549710.68,375545.66,2
FL,2010,11,FL-11,H6FL11126,"Castor, Kathy",91328,0.5963,1,Democrat,0,1,0,1,153145,1181057.99,680010.98,2
AR,2010,1,AR-1,H0AR01109,"Causey, Chad",78267,0.4348,0,Democrat,0,0,0,1,180016,2863829.63,1613863.42,2
GA,2014,10,GA-10,H0GA07125,"Hice, Jody B.",130703,0.6652,1,Republican,1,0,0,0,196480,985493.72,949719.72,2
GA,2016,10,GA-10,H0GA07125,"Hice, Jody ",243725,0.9964,1,Republican,1,1,1,0,244611,425435.32,425435.32,1
GA,2010,7,GA-7,H0GA07133,"Woodall, Rob",160898,0.6707,1,Republican,1,0,0,0,239894,397700.29,323801.01,2
GA,2014,7,GA-7,H0GA07133,"Woodall, William Robert ""Rob""",113557,0.6539,1,Republican,1,1,0,0,173669,519512.47,500041.47,2
